,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Color,Voltaje,Con USB,Con HDMI,Tipo de pantalla,Tamaño de la pantalla,Con HDR,Es smart,Es 3D,Es curvo,Es portátil,Tipo de resolución,Resolución máxima,Sistema operativo,Con apagado automático,Ancho x Profundidad x Altura,Peso,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Accesorios incluidos,Relación de aspecto,Frecuencia de actualización de la pantalla,Cantidad de puertos HDMI,Cantidad de puertos USB,Con Wi-Fi,Con Bluetooth,Con ethernet,Apps integradas
10,Samsung Led Tv 75 4k Uhd Smart,PY,None,Televisores,₲,,6723590,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-519489546-samsung-led-tv-75-4k-uhd-smart-_JM#position=12&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:57,Samsung Led Tv 75 4k Uhd Smart,Samsung Led Tv 75 4k Uhd Smart,Samsung Led Tv 75 4k Uhd Smart,Samsung,Negro,,Sí,Sí,,,Sí,Sí,Sí,No,Sí,,3840x2160,,,,,,,,,,,,,,,,
11,LG Oled65c1 65 Inch Class 4k Smart Oled Tv (Reacondicionado),PY,None,Televisores,U$S,,300,,5,1,None,,https://articulo.mercadolibre.com.py/MPY-519886008-lg-oled65c1-65-inch-class-4k-smart-oled-tv-_JM#position=13&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:18:59,LG,OLED,OLED65C1,,,,,,,"65 """,,Sí,,,,,,,,,,,,,,,,,,,,,
12,Samsung Qe65ls03aauxxu 65 Inch 4k Qled Smart Tv,PY,None,Televisores,₲,,1960,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520783040-samsung-qe65ls03aauxxu-65-inch-4k-qled-smart-tv-_JM#position=14&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:03,Samsung,Uhd,QLED,UHDTV,Negro,220V,Sí,Sí,QLED,"65 """,Sí,Sí,Sí,No,Sí,4K,,,,,,,,,,,,,,,,,
13,"Samsung Ue65ru7379 Curved-led-fernseher 163 Cm 65 Zoll, 4k U",PY,None,Televisores,U$S,,600,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520386514-samsung-ue65ru7379-curved-led-fernseher-163-cm-65-zoll-4k-u-_JM#position=15&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a042,22/03/2023 12:19:06,"Samsung UE65RU7379 Curved-LED-Fernseher 163 cm 65 Zoll, 4K Ultra HD, Smart-TV","Samsung UE65RU7379 Curved-LED-Fernseher 163 cm 65 Zoll, 4K Ultra HD, Smart-TV","Samsung UE65RU7379 Curved-LED-Fernseher 163 cm 65 Zoll, 4K Ultra HD, Smart-TV","Samsung UE65RU7379 Curved-LED-Fernseher 163 cm 65 Zoll, 4K Ultra HD, Smart-TV",,,Sí,,,"85 """,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,
14,Nuevo Samsung Curved 55 Inch Televisor Led Inteligente 4k,PY,None,Televisores,U$S,,270,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-522284512-nuevo-samsung-curved-55-inch-televisor-led-inteligente-4k-_JM#position=16&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a04260,22/03/2023 12:19:10,Samsung,Series 6,UN55MU6500,UN55MU6500GXZS,Negro,112,Sí,Sí,LED,"55 """,Sí,Sí,Sí,Sí,Sí,4K,,,,,,,,,,,,,,,,,
15,Vizio 4k Oled 55 Smart Tv | Oled55-h1,PY,None,Televisores,U$S,,300,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-519866512-vizio-4k-oled-55-smart-tv-oled55-h1-_JM#position=18&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:16,Vizio,,,,,,,,,"65 """,,Sí,,,,,,,,,,,,,,,,,,,,,
16,Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,PY,None,Televisores,U$S,,350,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-519873026-sony-bravia-xr-xr65x90j-led-hdr-4k-ultra-hd-smart-tv-_JM#position=19&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:19,Sony,Bravia XR,XR-65X90J,,,,,,,"65 """,Sí,Sí,,,,,,,,,,,,,,,,,,,,,
17,New Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,PY,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520919508-new-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=20&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a04260,22/03/2023 12:19:21,Sony,A8h Series,Oled 4k Uhd Smart Android Tv,,,,Sí,Sí,,"65 """,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,
18,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,PY,None,Televisores,U$S,,350,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-519918506-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=21&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a042,22/03/2023 12:19:25,Hisense,HISENSE,,,,,,,,"65 """,,,,,,,,,,,,,,,,,,,,,,,
19,Original Tv Sony Bravia 4k Ultra Hd 65 Pulgadas,PY,None,Televisores,U$S,,550,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520250006-original-tv-sony-bravia-4k-ultra-hd-65-pulgadas-_JM#position=22&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:28,Sony,Bravia,,,Negro,,,Sí,,,Sí,Sí,,,,,,,,,,,,,,,,,,,,,
20,Samsungs Qled Smart 8k Uhd Tv +20 1278 800 432,PY,None,Televisores,U$S,,650,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520139572-samsungs-qled-smart-8k-uhd-tv-20-1278-800-432-_JM#position=24&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:35,Samsung,qled,,,,,Sí,Sí,,"85 """,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,
21,Tcl 6 Series/r635 2020 Qled Tv,PY,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.py/MPY-519905505-tcl-6-seriesr635-2020-qled-tv-_JM#position=27&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:43,TCL,,,,,,,,,"55 """,,,,,,,,,,,,,,,,,,,,,,,
22,Tcl Series 6 55r617 55 65 75 Inch 4k Ultra Hd Roku Smart Led,PY,None,Televisores,U$S,,400,,,1,None,,https://articulo.mercadolibre.com.py/MPY-521933532-tcl-series-6-55r617-55-65-75-inch-4k-ultra-hd-roku-smart-led-_JM#position=28&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a04,22/03/2023 12:19:46,TCL,TCL series 6 55R617 55 65 75 inch 4K Ultra HD Roku Smart LED TV,TCL series 6 55R617 55 65 75 inch 4K Ultra HD Roku Smart LED TV,TCL series 6 55R617 55 65 75 inch 4K Ultra HD Roku Smart LED TV,,,,,,"55 """,,Sí,,,,,,,,,,,,,,,,,,,,,
23,Samsung 65  Qe65qn94aatxxu Neo Qled Tv Modelo 2021,PY,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520594510-samsung-65-qe65qn94aatxxu-neo-qled-tv-modelo-2021-_JM#position=29&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:49,"SAMSUNG 65"" QE65QN94AATXXU Neo","SAMSUNG 65"" QE65QN94AATXXU Neo","SAMSUNG 65"" QE65QN94AATXXU Neo","SAMSUNG 65"" QE65QN94AATXXU Neo",,110V/220V,Sí,Sí,,"65 """,Sí,Sí,Sí,Sí,Sí,4K,,,,,,,,,,,,,,,,,
24,Samsung - 85  Class Q70t Series Qled 4k Uhd Smart Tizen Tv,PY,None,Televisores,U$S,,1700,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520419018-samsung-85-class-q70t-series-qled-4k-uhd-smart-tizen-tv-_JM#position=30&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073,22/03/2023 12:19:52,Samsung,Series Q,Q70T,UN85HU8500,Turquesa,,,,,"85 """,,Sí,,,,,,,,,,,,,,,,,,,,,
25,Brand New Vizio 4k Oled 55 Smart Tv | Oled55-h1,PY,None,Televisores,U$S,,450,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520997504-brand-new-vizio-4k-oled-55-smart-tv-oled55-h1-_JM#position=31&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:55,Vizio,4k Oled  Smart Tv,Oled55-h1,,,,Sí,Sí,,"55 """,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,
26,Vendo Xvendo Box Smart Para Tv ,PY,None,Televisores,₲,,750000,,,1,None,,https://articulo.mercadolibre.com.py/MPY-521244510-vendo-xvendo-box-smart-para-tv-_JM#position=32&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:19:57,Sharp,D,D,X,Negro,,,,,"20000 """,,Sí,,,,,,,,,,,,,,,,,,,,,
27,Televisor Samsung-qn900b-85 -8k-hdr-smart-neo-qled,PY,None,Televisores,₲,,26000000,,,1,None,,https://articulo.mercadolibre.com.py/MPY-522115570-televisor-samsung-qn900b-85-8k-hdr-smart-neo-qled-_JM#position=34&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:20:04,Samsung,8K HDR Smart Neo QLED TV,QN900B,QN85QN900BFXZA,Blanco,110V/220V,Sí,Sí,OLED,"85 """,Sí,Sí,Sí,Sí,Sí,8K UHD,,,,,,,,,,,,,,,,,
28,Televisor De 28 Pulgadas Marca LG,PY,None,Televisores,₲,,300,,,1,None,,https://articulo.mercadolibre.com.py/MPY-519444026-televisor-de-28-pulgadas-marca-lg-_JM#position=35&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:20:07,LG,Televisor,Led,LG 28Lk430b,Negro,220,Sí,Sí,LED,"28 """,,No,No,No,,HD,,,,,,,,,,,,,,,,,
29,Televisor Sony Bravia Xr A80k 4k Hdr Oled De 65 ,PY,None,Televisores,₲,,396356400,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-521244548-televisor-sony-bravia-xr-a80k-4k-hdr-oled-de-65-_JM#position=1&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:20:52,Sony,Bravia,KD-60X690E,"OLED  65""",Negro,110V/240V,Sí,Sí,OLED,"65 """,Sí,Sí,,,,4K,3840 px - 2160 px,Linux,Sí,135.68 cm x 8.6 cm x 78.61 cm,19 kg,2,20 W,"DTS Digital Surround,Dolby Digital,Dolby Digital Plus,Dolby Pulse","Baterías,Cable de alimentación,Control remoto",16:9,240 Hz,3,3,Sí,No,Sí,"Netflix,Web browser,YouTube"
30,Nuevo Televisor Samsung Q900r 8k Qled +1 352 888 2922,PY,None,Televisores,U$S,,600,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520380020-nuevo-televisor-samsung-q900r-8k-qled-1-352888-2922-_JM#position=17&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:20:58,New Samsung 85-Inch Q900R QLED 8K TV,New Samsung 85-Inch Q900R QLED 8K TV,New Samsung 85-Inch Q900R QLED 8K TV,New Samsung 85-Inch Q900R QLED 8K TV,,,Sí,,,"85 """,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,
31,Televisor Samsung Qa75q950t 8k Qled 2020 +1 352 888 2922,PY,None,Televisores,U$S,,600,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520360521-televisor-samsung-qa75q950t-8k-qled-2020-1-352888-2922-_JM#position=23&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:21:05,Samsung,Televisor SAMSUNG QA75Q950T 8K QLED 2020,Televisor SAMSUNG QA75Q950T 8K QLED 2020,Televisor SAMSUNG QA75Q950T 8K QLED 2020,Negro,,Sí,Sí,QLED,"75 """,Sí,Sí,Sí,,Sí,,,,,,,,,,,,,,,,,,
32,Hisense 50 Pulgadas 4k Ultra Hd Smart Tv Uhd Led Smartcast,PY,None,Televisores,U$S,,650,,1,1,None,,https://articulo.mercadolibre.com.py/MPY-520113555-hisense-50-pulgadas-4k-ultra-hd-smart-tv-uhd-led-smartcast-_JM#position=25&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426,22/03/2023 12:21:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,LG Oled65r9pua Signature Oled Tv R9 - 4k Hdr Smart Tv - 65,PY,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.py/MPY-521894538-lg-oled65r9pua-signature-oled-tv-r9-4k-hdr-smart-tv-65-_JM#position=26&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a0426073a,22/03/2023 12:21:17,LG,LG OLED65R9PUA SIGNATURE OLED TV R9 - 4K HDR Smart TV - 65,LG OLED65R9PUA SIGNATURE OLED TV R9 - 4K HDR Smart TV - 65,LG OLED65R9PUA SIGNATURE OLED TV R9 - 4K HDR Smart TV - 65,,,,,,"65 """,Sí,Sí,Sí,,,,,,,,,,,,,,,,,,,,
34,New Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,PY,None,Televisores,U$S,,500,,,1,None,,https://articulo.mercadolibre.com.py/MPY-520958508-new-sony-bravia-xr-xr65x90j-led-hdr-4k-ultra-hd-smart-tv-_JM#position=33&search_layout=stack&type=item&tracking_id=56245f29-987d-46bf-95f4-a60a042607,22/03/2023 12:21:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
