,name,Country Code,rating,category,Currency,original_price,offer_price,discount_percentage,sales,quantity_available,state,reviews,scrape_link,date_scraped,Marca,Línea,Modelo,Modelo alfanumérico,Voltaje,Tamaño de la pantalla,Con HDR,Es smart,Es portátil,Con USB,Con HDMI,Color,Tipo de pantalla,Tipo de resolución,Submodelo,Edición,Tipo de consola,Año de lanzamiento,Tipo de alimentación,Formatos de juegos,Incluye juegos,Resolución máxima de salida de video,CPU,GPU,Velocidad del procesador,Cantidad de núcleos de CPU,Capacidad,Tipos de memoria,Memoria RAM,Conectividad de red móvil,Con Wi-Fi,Con S/PDIF,Con Bluetooth,Incluye controles,Cantidad de controles incluidos,Conectividades de los controles,Altura x Ancho x Profundidad,Generación,Interfaces de audio y video,Resolución máxima de video,Calidad de audio,Aplicaciones compatibles,Dispositivos compatibles,Sistema operativo,Sistemas operativos mínimos requeridos,Formato del dispositivo,Tecnologías de streaming,Procesador gráfico,Tipos de puertos y conectores,Estándares Wi-Fi,Frecuencias,Largo,Ancho,Altura,Incluye cable HDMI,Es 3D,Es curvo,Ancho x Profundidad x Altura,Peso,Accesorios incluidos,Resolución máxima,Relación de aspecto,Frecuencia de actualización de la pantalla,Cantidad de puertos HDMI,Cantidad de puertos USB,Cantidad de parlantes,Potencia máxima de los parlantes,Modos de sonido,Con ethernet
10,Apple Tv 4k 64gb (2021) - Mxh02lla ,NI,None,Televisores,U$S,,150,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513154504-apple-tv-4k-64gb-2021-mxh02lla-_JM#position=16&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:49:59,Apple,Apple TV,Apple TV 4K,A1842,,,,,,,,,,,,,,,,,,,Apple A12,,,,,,,,Sí,,Sí,,,,,1.ª generación 2017,HDMI,4K,"Dolby Digital Plus,Dolby Digital,Dolby Atmos",Apple TV+,"Televisores,Celulares,Tablets,Computadoras,Teclados inalámbricos",,,TV Box,AirPlay,,"Apple power supply,Ethernet,IR",IEEE 802.11ax,"2.4 GHz,5 GHz",98 mm,98 mm,35 mm,No,,,,,,,,,,,,,,
11,Samsung Qn85qn900bfxza 85  Class Neo Qled 8k Smart Tv (2022),NI,None,Televisores,U$S,,2399,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-514292006-samsung-qn85qn900bfxza-85-class-neo-qled-8k-smart-tv-2022-_JM#position=19&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a,22/03/2023 11:50:09,Samsung,Series 4,QN85QN900BFXZA,HG32ND450SGXZD,100V/240V,"85 """,Sí,No,Sí,Sí,Sí,Plateado,LED,HD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Sí,74.5 cm x 6.9 cm x 44.2 cm,3.7 kg,"Cable de alimentación,Control remoto",1366 px - 768 px,16:9,120 Hz,2,1,2,10 W,Dolby Digital Plus,
12, H96 Max Android 9.0 Smarttv Box 64gb Wireless Iptv Box Wifi,NI,None,Televisores,C$,,800,,1,1,None,,https://articulo.mercadolibre.com.ni/MNI-513232503-h96-max-android-90-smarttv-box-64gb-wireless-iptv-box-wifi-_JM#position=20&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723,22/03/2023 11:50:11,H96 MAX Android 9.0 SmartTV Box 64GB Wireless IPTV Box WiFi 5G,,H96 MAX Android 9.0 SmartTV Box 64GB Wireless IPTV Box WiFi 5G,H96 MAX Android 9.0 SmartTV Box 64GB Wireless IPTV Box WiFi 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,H96 MAX Android 9.0 SmartTV Box 64GB Wireless IPTV Box WiFi 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sony Bravia Xr Xr65x90j Led Hdr 4k Ultra Hd Smart Tv,NI,None,Televisores,U$S,,350,,1,1,None,,https://articulo.mercadolibre.com.ni/MNI-513395003-sony-bravia-xr-xr65x90j-led-hdr-4k-ultra-hd-smart-tv-_JM#position=22&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:50:18,Sony,Bravia XR,XR-65X90J,,,"65 """,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Vizio 4k Oled 55 Smart Tv | Oled55-h1,NI,None,Televisores,U$S,,300,,1,1,None,,https://articulo.mercadolibre.com.ni/MNI-513408006-vizio-4k-oled-55-smart-tv-oled55-h1-_JM#position=23&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:50:22,Vizio,,,,,"55 """,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sony - 65 Class A8h Series Oled 4k Uhd Smart Android Tv,NI,None,Televisores,U$S,,300,,1,1,None,,https://articulo.mercadolibre.com.ni/MNI-513414513-sony-65-class-a8h-series-oled-4k-uhd-smart-android-tv-_JM#position=26&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:50:31,Sony,TV,,,,"55 """,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tcl 6 Series/r635 2020 Qled Tv,NI,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513421004-tcl-6-seriesr635-2020-qled-tv-_JM#position=27&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:50:35,TCL,,,,,"55 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,LG Oled 65 Inch Class 4k Smart Oled Tv ,NI,None,Televisores,C$,,19000,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513980002-lg-oled-65-inch-class-4k-smart-oled-tv-_JM#position=2&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:51:09,LG,AI ThinQ,OLED65,Number+420 234 708 423,,"65 """,Sí,Sí,,Sí,Sí,Negro,OLED,4K,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,Sí
18,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,NI,None,Televisores,C$,,13650,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513850020-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=4&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723,22/03/2023 11:51:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Roku Streaming Stick 4k+ (2021) ,NI,None,Televisores,U$S,,55,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513148004-roku-streaming-stick-4k-2021-_JM#position=8&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:51:20,Roku,,Streaming Stick 4K,3820,,,,,,,,,,,,,,,,,,,Cortex-A55,,,,,,,,Sí,,,,,,,,HDMI,4K,"DTS,Dolby","Apple TV,CBS,Discovery+,Disney+,ESPN,HBO Max,Hulu,iHeartRadio,Netflix,News,Paramount+,Peacock,Redbox,Roku Channel,Telemundo,Amazon Prime Video,Run Time,Pluto TV,DirecTV Go,Crunchyroll,Plex",Televisores,Roku OS,Roku OS 10.5,Stick,,,"Micro-USB,USB",IEEE 802.11ac,,94.5 mm,21.1 mm,11.5 mm,,,,,,,,,,,,,,,
20,Samsung 75 Inch Qled 4k Quantum Smart Tv With Alexa Built-in,NI,None,Televisores,C$,,25000,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513024504-samsung-75-inch-qled-4k-quantum-smart-tv-with-alexa-built-in-_JM#position=10&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf7,22/03/2023 11:51:26,Samsung,Number+420 234 708 423,Series Q,QN75Q70AAFXZA,100V/240V,"75 """,Sí,Sí,,Sí,Sí,Negro,QLED,4K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sí,,,,,,,,,,,,
21,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,NI,None,Televisores,C$,,10799,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513746018-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=11&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,22/03/2023 11:51:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Google Snow Chromecast With Google Tv - Ga01919-us ,NI,None,Televisores,U$S,,55,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513154505-google-snow-chromecast-with-google-tv-ga01919-us-_JM#position=17&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:51:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Apple Tv 4k 32gb (2021) - Mxgy2lla ,NI,None,Televisores,U$S,,150,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513154506-apple-tv-4k-32gb-2021-mxgy2lla-_JM#position=18&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:51:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24, Blackmagic Design Atem Tv Studio Pro 4k-hd Live Switcher,NI,None,Televisores,C$,,53200,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513278006-blackmagic-design-atem-tv-studio-pro-4k-hd-live-switcher-_JM#position=21&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4,22/03/2023 11:51:49,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blackmagic Design ATEM TV Studio Pro 4K-HD Live Switcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,LG Oled65c1 65 Inch Class 4k Smart Oled Tv,NI,None,Televisores,U$S,,350,,1,1,None,,https://articulo.mercadolibre.com.ni/MNI-513408007-lg-oled65c1-65-inch-class-4k-smart-oled-tv-_JM#position=24&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:51:55,LG,OLED,OLED65C1,,,"65 """,,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Samsung Qe75qn900a 75 Neo Qled 8k Quantum Hdr Smart Tv,NI,None,Televisores,U$S,,350,,5,1,None,,https://articulo.mercadolibre.com.ni/MNI-513414507-samsung-qe75qn900a-75-neo-qled-8k-quantum-hdr-smart-tv-_JM#position=25&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf723a4ba,22/03/2023 11:52:00,Samsung,The Frame,Smart TV,Samsung,,"75 """,Sí,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Hisense Uled Premium 75-inch U7g Quantum Dot Qled Series Tv,NI,None,Televisores,U$S,,300,,,1,None,,https://articulo.mercadolibre.com.ni/MNI-513434001-hisense-uled-premium-75-inch-u7g-quantum-dot-qled-series-tv-_JM#position=28&search_layout=stack&type=item&tracking_id=a668868b-cc3e-40ee-a4fe-644bf72,22/03/2023 11:52:06,Hisense,HISENSE,,,,"65 """,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
