,country,category,brand,title,reference,no_offers,avg_price,currency,scrape_link,scrape_time,Ekran,Ekran Tipi,Ekran Boyutu,Ekran Boyutu (cm),Çözünürlük Standardı,Ekran Çözünürlüğü,Yenileme Hızı (Yazılım),Yenileme Hızı (Gerçek),Desteklenen Çözünürlükler (HDMI),HDR,HDR Özellikleri,Ekran & Görüntü Özellikleri,Ses Çıkış Gücü (RMS),Hoparlör Sistemi,Ses & Video Çözücüler,Ses Özellikleri,Subwoofer,Analog Alıcı,Karasal Alıcı (DVB-T),Kablo TV (DVB-C),HD Uydu Alıcı (DVB-S2),HD Karasal Alıcı (DVB-T2),Dahili Wi-Fi,Wi-Fi Özellikleri,DLNA,Ethernet / LAN Kablo Girişi,USB 2.0 Girişleri,HDMI 2.0 Girişleri,HDMI Özellikleri,HDMI-CEC,Dijital Ses Çıkışı,Common Interface (CI+),CI+ Özellikleri,Analog/Kablolu Anten Girişi,Uydu Anteni Girişi,3D,Smart TV,Smart TV Özellikleri,Smart TV Uygulamaları,Uygulama Yükleyebilme,Dahili Kamera,Akıllı Etkileşim (Dahili),Ses ile TV Kontrolü,Yayın Kaydetme (PVR),Program Rehberi (EPG),HbbTV,İşlemci Çekirdek Sayısı,İşletim Sistemi,İşletim Sistemi Versiyonu,Diğer Multimedya Özellikleri,SDR Enerji Tüketim Sınıfı (A-G),SDR Enerji Tüketimi (1000h),HDR Enerji Tüketim Sınıfı (A-G),HDR Enerji Tüketimi (1000h),Güç Tüketimi (Maksimum),Tüketim (Bekleme Modu),Güç Tüketimi Özellikleri,Ekran Kalınlık Tipi,Ön Çerçeve Rengi,Stand (Ayak) Tipi,Tasarım Özellikleri,Kutu Genişliği,Kutu Yüksekliği,Kutu Derinliği,TV Genişliği (Ayaklı),TV Yüksekliği (Ayaklı),TV Derinliği (Ayaklı),TV Genişliği (Ayaksız),TV Yüksekliği (Ayaksız),TV Derinliği (Ayaksız),TV Ağırlığı (Ayaksız),TV Ağırlığı (Ayaklı),Toplam Ambalaj Ağırlığı,Çıkış Yılı,Öne Çıkan Özellikler,Kullanım Kılavuzu (TR),Kontrast Oranı (Statik),Parlaklık,Kompozit Girişi (AV),Ses / Kulaklık Çıkışı,İşlemci Hızı,Chipset,RAM,Dahili Depolama,Subwoofer Özellikleri,USB 3.2 Gen 1 (3.0) Girişleri,Harici Kamera Desteği,Dinamik Kontrast,Komponent (Bileşen) Girişi,Kullanım Kılavuzu (EN),Uygun/Gerekli Android Uygulaması,Uygun/Gerekli iOS Uygulaması,IR Out,Kontrast Oranı (Dinamik),Parlaklık (Maks.),Tepki Süresi,Dahili Depolama Özellikleri,Diğer Bağlantı Özellikleri,Hbb TV Özellikleri,Ambilight,Ambilight Özellikleri,PC Girişi (VGA),HDMI 1.3/1.4/2.0 Girişleri,Akıllı Etkileşim (Uyumlu),Ses Tanıma (Uyumlu),Eski Enerji Tüketim Sınıfı (A-D),Tüketim (Ortalama),Tüketim (Tasassuf Modu),Ortalama Yıllık Tüketim
37,TR,Televizyon,Grundig,Grundig 65 GGO 9900 B Ultra HD (4K) TV,None,2,33999.5,TL,https://www.epey.com/televizyon/grundig-65-ggo-9900-b.html,09/04/2023 22:48:38,OLED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,VPI 2500,100/120 Hz,,Var,"Dolby Vision


HDR10","Wide Color Gamut


Hareketli Sahne İyileştirme


Micro Dimming


Motion Picture Improvement


Ultra Motion (MEMC)",30 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Digital


DTS",Magic Fidelity,Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",,Var,2 Adet,,"HDMI Enhanced Audio Return Channel (eARC)


HDMI Audio Return Channel (ARC)",Var,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","BeIN Connect


Netflix


Prime Video


Turkcell TV+


YouTube",Var,Yok,,,Harici Disk/USB Bellek ile,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Ekran Yansıtma


Miracast


Chromecast


USB ile Resim/Müzik/Video Oynatma


Türksat Kanal Güncelleme Sistemi (TKGS)


Yazılım Güncelleştirme (Çevrimiçi)


Yayında Altyazı Desteği",G,140 kWh,G,150 kWh,,0.5 W,,Standart,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (400x400 mm),,,,1449 mm,918 mm,317 mm,,,,,27.2 kg,34 kg,2022,Android TV,Grundig 65 GGO 9900 B Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,,,,,,,,,,,,,,,,,,,,3 Adet,Var,Var,,,,
38,TR,Televizyon,Philips,Philips 75PUS8007 Ultra HD (4K) TV (75PUS8007/12),(75PUS8007/12),5,29894.204,TL,https://www.epey.com/televizyon/philips-75pus8007.html,09/04/2023 22:48:40,LED,Düz (Flat),75 İnç,189 cm,Ultra HD (4K),3840x2160,,50/60 Hz,3840x2160p @ 60 Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)","Pixel Precise Ultra HD Engine

 
HGIG Mode",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital",AI Sound,Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


2x2",,Var,2 Adet,4 Adet,"HDCP 2.3


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",EasyLink,Optik,Var,CI+ (1.3),1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","Google Arama


Google Play Movies


Google Play Music


Netflix


Prime Video


YouTube",Var,Yok,Yok,,,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Google Assistant


Ekran Yansıtma


Variable Refresh Rate (VRR)


USB ile Resim/Müzik/Video Oynatma


Auto Low Latency Mode (ALLM)


Bluetooth 5.0",G,140 kWh,G,178 kWh,,0.3 W,"Güç Tasarrufu Modu (Ekonomik mod) 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Standart,Siyah,İkili Ayak (Düz),VESA Duvar Montaj Desteği (300x300 mm),1879 mm,1106 mm,190 mm,1670.5 mm,989.1 mm,334.9 mm,1670.5 mm,960.1 mm,84.1 mm,28.7 kg,29.2 kg,40.5 kg,2022,Android TV,Philips 75PUS8007 Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,16 GB,,,,,Var,,,,,,,,USB Bellek ile Arttırılabilir,,,Var,"Dahili Ambilight


Dinlenme ışık modu


Duvar rengine uyarlanma


Oyun modu


3 Taraflı",,,Var,Var,,,,
39,TR,Televizyon,TCL,TCL 55C728G Ultra HD (4K) TV,None,2,19599.019999999997,TL,https://www.epey.com/televizyon/tcl-55c728g.html,09/04/2023 22:48:43,LED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,TCL PPI 3300,100/120 Hz,3840x2160p @ 120Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Dolby Vision IQ","QLED with Quantum Dot


Quantum Dot Display


AiPQ Engine


DCI-P3 100%


Direct LED Aydınlatma


Micro Dimming


Ultra Motion (MEMC)


10 (8 bit + FRC) bit Panel Desteği


15 ms Input Lag",20 W,2.0,"Dolby Atmos


Dolby Digital


DTS HD


Dolby Digital Plus


DTS


Dolby MS12",Onkyo Ses Geliştirme,Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",Var,Var,1 Adet,,"HDMI 2.1


HDMI 2.0


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP


HDMI 1.4


HDCP 1.4",T-Link,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


TCL AI-IN


Web Tarayıcı","Google Arama


Google Play Games


Google Play Movies


Google Play Music


Google TV


Netflix


YouTube",Var,Yok,Var,Var,,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Google Assistant


Ekran Yansıtma


Variable Refresh Rate (VRR)


Chromecast


USB ile Resim/Müzik/Video Oynatma


USB Klavye ve Fare Desteği


Auto Low Latency Mode (ALLM)


Bluetooth 5.0",G,98 kWh,G,158 kWh,,0.5 W,Güç Tasarrufu Modu (Ekonomik mod),Standart,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x200 mm),1400 mm,864 mm,150 mm,1227 mm,769 mm,302 mm,1227 mm,703 mm,3.17 (79) mm,13.6 kg,12.8 kg,17.6 kg,2022,Android TV,TCL 55C728G Ultra HD (4K) TV Kullanım Kılavuzu (TR),5000:1,330 cd/m²,Var,Var,1.6 GHz,MT9615 (ARM Cortex-A73),3 GB,32 GB,,,,,,,,,,,,6.5 ms,eMMC 5.0,,,,,,4 Adet,,,,,,
40,TR,Televizyon,Toshiba,Toshiba 65QA7D63DT Ultra HD (4K) TV (20277128),(20277128),4,20553.0,TL,https://www.epey.com/televizyon/toshiba-65qa7d63dt.html,09/04/2023 22:48:46,LED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,SMR 2500,50/60 Hz,,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)","QLED with Quantum Dot


Quantum Dot Display


Micro Dimming


Ultra Motion (MEMC)


Vestel Quantum Renk Paleti Teknolojisi",24 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


DTS HD


DTS


Dolby Audio","DTS Virtual:X


DTS:X


German + Nicam Stereo


Internal Subwoofer


Onkyo Ses Geliştirme",,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",,Var,2 Adet,,"HDMI Enhanced Audio Return Channel (eARC)


HDMI Audio Return Channel (ARC)",Var,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","BeIN Connect


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Google Assistant


Ekran Yansıtma


Miracast


Chromecast


USB ile Resim/Müzik/Video Oynatma


Türksat Kanal Güncelleme Sistemi (TKGS)",E,85 kWh,G,195 kWh,,0.5 W,Güç Tasarrufu Modu (Ekonomik mod),Standart,Siyah,Dikdörtgen,VESA Duvar Montaj Desteği (400x200 mm),,,,1453 mm,875 mm,251 mm,1453 mm,836 mm,74 mm,,26.3 kg,,2022,Android TV,Toshiba 65QA7D63DT Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,,,,,,,,,,,,,,,,,,,,3 Adet,,,,,,
41,TR,Televizyon,TCL,TCL 55C728 Ultra HD (4K) TV,None,2,21699.004999999997,TL,https://www.epey.com/televizyon/tcl-55c728.html,09/04/2023 22:48:50,LED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,TCL PPI 3300,100/120 Hz,3840x2160p @ 120Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Dolby Vision IQ","QLED with Quantum Dot


Quantum Dot Display


AiPQ Engine


DCI-P3 100%


Direct LED Aydınlatma


Micro Dimming


Ultra Motion (MEMC)


10 (8 bit + FRC) bit Panel Desteği


15 ms Input Lag",20 W,2.0,"Dolby Atmos


Dolby Digital


DTS HD


Dolby Digital Plus


DTS


Dolby MS12",Onkyo Ses Geliştirme,Yok,Var,Var,Var,Var,Var,Var,Dual Band (5GHz),Var,Var,1 Adet,,"HDMI 2.1


HDMI 2.0


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP


HDMI 1.4


HDCP 1.4",T-Link,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


TCL AI-IN


Web Tarayıcı","Google Arama


Google Play Games


Google Play Movies


Google Play Music


Netflix


YouTube",Var,Yok,Var,Var,,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Google Assistant


Ekran Yansıtma


Variable Refresh Rate (VRR)


Chromecast


USB ile Resim/Müzik/Video Oynatma


USB Klavye ve Fare Desteği


Auto Low Latency Mode (ALLM)


Bluetooth 5.0",G,98 kWh,G,158 kWh,,0.5 W,Güç Tasarrufu Modu (Ekonomik mod),Standart,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x200 mm),1400 mm,864 mm,150 mm,1227 mm,769 mm,302 mm,1227 mm,703 mm,3.17 (79) mm,13.6 kg,12.8 kg,17.6 kg,2021,Android TV,TCL 55C728 Ultra HD (4K) TV Kullanım Kılavuzu (TR),5000:1,330 cd/m²,Var,Var,1.6 GHz,MT9615 (ARM Cortex-A73),3 GB,32 GB,,,,,,,,,,,,6.5 ms,eMMC 5.0,,,,,,4 Adet,,,,,,
42,TR,Televizyon,Samsung,Samsung 55Q70B Ultra HD (4K) TV (QE55Q70BATXTK),(QE55Q70BATXTK),14,23250.67142857143,TL,https://www.epey.com/televizyon/samsung-55q70b.html,09/04/2023 22:48:52,LED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,PQI 3400,100/120 Hz,3840x2160p @ 120Hz,Var,"HDR10+ Adaptive


HDR10


HDR10+


HLG (Hybrid Log-Gamma)


Quantum HDR","QLED with Quantum Dot


Quantum Dot Display


Quantum Processor 4K


Supreme UHD Dimming


DCI-P3 100%


Dual LED


HGIG Mode


Motion Xcelerator Turbo+


Real Depth Enhancer


Wide Viewing Angle


4K AI Upscaling",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Digital


Dolby Digital Plus","Object Tracking Sound (OTS Lite)


Q-Symphony Lite",Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,4 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",Anynet+,Optik,Var,CI+ (1.4),1 Adet,2 Adet,Yok,Var,"Smart Hub


Web Tarayıcı","Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,Tizen,Tizen 6.5,"Bluetooth


FreeSync


FreeSync Premium Pro


Ekran Yansıtma (İki Yönlü)


Freesync Premium


Ekran Yansıtma


Bluetooth HID (Dahili)


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


Connect Share (HDD)


ConnectShare


Oyun Modu


Ambient Mode


Ambient Mode Plus


Auto Low Latency Mode (ALLM)


Bixby Voice


Bluetooth 5.2


Bluetooth LE (Low Energy)


Google Duo


Multiroom Link


Samsung SmartThings


Wireless Dex


2 Tuner (Çift Alıcı)",G,93 kWh,G,161 kWh,205 W,0.5 W,"Akıllı Enerji Tasarrufu Sistemi 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Slim,Siyah,Kare,VESA Duvar Montaj Desteği (200x200 mm),1424 mm,846 mm,191 mm,1232.9 mm,778.3 mm,246.5 mm,1232.9 mm,708.7 mm,25.7 mm,16.1 kg,18.4 kg,24.6 kg,2022,Samsung QLED TV,Samsung 55Q70B Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,TR,Televizyon,LG,LG OLED48A29LA Ultra HD (4K) TV,None,0,0,TL,https://www.epey.com/televizyon/lg-oled48a29la.html,09/04/2023 22:48:55,OLED,Düz (Flat),48 İnç,122 cm,Ultra HD (4K),3840x2160,,50/60 Hz,3840x2160p @ 60 Hz,Var,"Dolby Vision


HDR10


HLG (Hybrid Log-Gamma)


Dolby Vision IQ


HDR Effect


HDR 10 Pro


4K Cinema HDR","Billion Rich Color (Milyar Renk)


Mükemmel Siyahlar


Perfect Color (Kusursuz Renkler)


True Color Accuracy


ULTRA Luminance


HDR Dynamic Tone Mapping


HFR 4K


HGIG Mode


Object Depth Enhancer


Pixel Dimming


Resolution Upscaler (4K)


Ultra Luminance Pro


Wide Viewing Angle


α7 (Alpha7) (Gen5) AI Processor 4K",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus


AV1 (4K@60p 10bit)

 
H.265/HEVC (4K/60p 10bit)


VP9


VP9 (4K@60fps 10bit)","AI Acoustic Tuning


AI Sound


apt-X Kodek


Clear Voice Pro


LG Sound Sync


OLED Surround


WiSA",Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,3 Adet,"HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)",SIMPLINK,Optik,Var,CI+ (1.4),1 Adet,1 Adet,Yok,Var,"LG ThinQ AI


Web Tarayıcı","LG Store


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,webOS,WebOS 22,"Bluetooth


Ekran Yansıtma


Miracast


Akıllı Kumanda (Magic Remote) Uyumu


apt-X Encoder


AirPlay 2


Apple HomeKit


Auto Low Latency Mode (ALLM)


Bluetooth 5.0


Gallery Mode


NVIDIA GeForce Now",G,65 kWh,G,117 kWh,,0.5 W,"Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Slim,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x200 mm),1220 mm,735 mm,152 mm,1070 mm,684 mm,235 mm,1070 mm,620 mm,45.9 mm,11.5 kg,11.7 kg,14.5 kg,2022,,,,,,Var,,,,,,,,Sonsuz,Var,,,,,,,,,,,,,,,,,,,,
44,TR,Televizyon,LG,LG OLED48A26LA Ultra HD (4K) TV,None,5,19649.0,TL,https://www.epey.com/televizyon/lg-oled48a26la.html,09/04/2023 22:48:58,OLED,Düz (Flat),48 İnç,122 cm,Ultra HD (4K),3840x2160,,50/60 Hz,3840x2160p @ 60 Hz,Var,"Dolby Vision


HDR10

 
HLG (Hybrid Log-Gamma)


Dolby Vision IQ


HDR Effect


HDR 10 Pro


4K Cinema HDR","Billion Rich Color (Milyar Renk)


Mükemmel Siyahlar


Perfect Color (Kusursuz Renkler)


AI Upscaling


HDR Dynamic Tone Mapping


HGIG Mode


Pixel Dimming


Resolution Upscaler (4K)


Wide Viewing Angle


α7 (Alpha7) (Gen5) AI Processor 4K",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


Dolby Digital Plus


AV1 (4K@60p 10bit)


H.265/HEVC (4K/60p 10bit)


VP9


VP9 (4K@60fps 10bit)","AI Acoustic Tuning


AI Sound


apt-X Kodek


Clear Voice Pro


LG Sound Sync


OLED Surround


Smart Sound Mode


WiSA",Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


WiFi Direct",Var,Var,2 Adet,3 Adet,"HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)",SIMPLINK,Optik,Var,CI+ (1.4),1 Adet,1 Adet,Yok,Var,"LG ThinQ AI


Web Tarayıcı","LG Store


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,webOS,WebOS 22,"Bluetooth


Ekran Yansıtma


Miracast


Akıllı Kumanda (Magic Remote) Uyumu


apt-X Encoder


AirPlay 2


Bluetooth 5.0


Gallery Mode


NVIDIA GeForce Now",G,65 kWh,G,117 kWh,,0.5 W,"Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Slim,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x200 mm),1220 mm,735 mm,152 mm,1070 mm,684 mm,235 mm,1070 mm,620 mm,45.9 mm,11.5 kg,11.7 kg,14.5 kg,2022,,,,,,Yok,,,,,,,,Sonsuz,,,,,,,,,,,,,,,,,,,,,
45,TR,Televizyon,TCL,TCL 65C635 Ultra HD (4K) TV,None,4,23161.4975,TL,https://www.epey.com/televizyon/tcl-65c635.html,09/04/2023 22:49:01,LED,Düz (Flat),65 İnç,164 cm,Ultra HD (4K),3840x2160,TCL PPI 3100,50/60 Hz,3840x2160p @ 50 Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)","QLED with Quantum Dot


Quantum Dot Display


IPQ 2.0 Engine


Micro Dimming


Ultra Motion (MEMC)


WCG (Renk Geliştirme Teknolojisi)",20 W,2.0,"Dolby Atmos


Dolby Digital


DTS HD


Dolby AC-4


 DTS


Dolby Audio",Onkyo Ses Geliştirme,Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",Var,Var,1 Adet,3 Adet,"HDMI 2.1


HDMI 2.0


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",T-Link,Optik,Var,,1 Adet,1 Adet,Yok,Var,Google Play Store,"Google TV


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Google Assistant


Ekran Yansıtma


Chromecast


USB HID Desteği


USB ile Resim/Müzik/Video Oynatma


Auto Low Latency Mode (ALLM)


Bluetooth 5.0


Google Duo",F,95 kWh,G,165 kWh,,0.5 W,,Standart,Siyah,İkili stant (V Ayaklı),VESA Duvar Montaj Desteği (300x300 mm),1640 mm,988 mm,165 mm,1446 mm,890 mm,291 mm,1446 mm,827 mm,80 mm,19.2 kg,19.5 kg,26.5 kg,2022,Android TV,,,,Var,Var,,,,,,1 Adet,Var,,,,,,,,,,,,,,,,,,,,,,
46,TR,Televizyon,Toshiba,Toshiba 55XA9D63DT Ultra HD (4K) TV (20277104),(20277104),3,27050.106666666667,TL,https://www.epey.com/televizyon/toshiba-55xa9d63dt.html,09/04/2023 22:49:03,OLED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,SMR 3200,100/120 Hz,,Var,"Dolby Vision


HDR10


HDR10+","Micro Dimming


Ultra Motion (MEMC)


Vestel Quantum Renk Paleti Teknolojisi",24 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital


DTS HD


Dolby Digital Plus


DTS


Dolby Audio","DTS Virtual:X


DTS:X


Onkyo Ses Geliştirme",Var,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)",,Var,2 Adet,,"HDMI Enhanced Audio Return Channel (eARC)


HDMI Audio Return Channel (ARC)",Var,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","BeIN Connect

 
Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Yok,Var,Var,4,Android TV,,"Bluetooth


Google Assistant


Ekran Yansıtma


Miracast


Chromecast


USB ile Resim/Müzik/Video Oynatma


Türksat Kanal Güncelleme Sistemi (TKGS)",G,113 kWh,G,147 kWh,,0.5 W,Güç Tasarrufu Modu (Ekonomik mod),Slim,Siyah,Dikdörtgen,VESA Duvar Montaj Desteği (200x200 mm),,,,1228 mm,746 mm,251 mm,1228 mm,715 mm,50 mm,,28 kg,,2022,Android TV,Toshiba 55XA9D63DT Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,,,,,,,,,,,,,,,,,,,,3 Adet,,,,,,
47,TR,Televizyon,Arçelik,Arçelik A55 OLED C 970 B Ultra HD (4K) TV,None,1,33849.95,TL,https://www.epey.com/televizyon/arcelik-a55-oled-c-970-b.html,09/04/2023 22:49:06,OLED,Düz (Flat),55 İnç,139 cm,Ultra HD (4K),3840x2160,VPI 2700,100/120 Hz,,Var,"Dolby Vision


HDR10


HDR10+","Wide Color Gamut


Micro Dimming


WCG (Renk Geliştirme Teknolojisi)",30 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Digital


Dolby Digital Plus",,,Var,Var,Var,Var,Var,Var,Wi-Fi 5 (802.11a/b/g/n/ac),,Var,2 Adet,3 Adet,"HDMI Enhanced Audio Return Channel (eARC)


HDMI Audio Return Channel (ARC)",DIGI LINK,Optik,Var,,1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","BeIN Connect


Netflix


Prime Video


Turkcell TV+


YouTube",Var,Yok,Var,Var,Harici Disk/USB Bellek ile,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


Ekran Yansıtma


Miracast


Chromecast


USB ile Resim/Müzik/Video Oynatma


Yakala Paylaş",G,101 kWh,G,120 kWh,,0.45 W,,Slim,Siyah,V Şekilli,VESA Duvar Montaj Desteği (400x300 mm),1390 mm,866 mm,217 mm,1227.8 mm,774.5 mm,303.4 mm,1227.8 mm,717.1 mm,50 mm,,,,2022,Android TV,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,TR,Televizyon,Philips,Philips 50PUS8807 Ultra HD (4K) TV (50PUS8807/62),(50PUS8807/62),11,19347.793636363636,TL,https://www.epey.com/televizyon/philips-50pus8807.html,09/04/2023 22:49:09,LED,Düz (Flat),50 İnç,126 cm,Ultra HD (4K),3840x2160,,100/120 Hz,3840x2160p @ 120Hz,Var,"Dolby Vision


HDR10


HDR10+


HLG (Hybrid Log-Gamma)","P5 Perfect Picture Engine


Micro Dimming Pro


CalMAN Ready


DCI-P3 90%


Doğal Hareket


Ultra Çözünürlük",20 W,2.0,"H.265/HEVC (4K/60p) Uydu


Dolby Atmos


Dolby Digital",AI Sound,Yok,Var,Var,Var,Var,Var,Var,"Dual Band (5GHz)


Wi-Fi 5 (802.11a/b/g/n/ac)


2x2",Var,Var,1 Adet,4 Adet,"HDMI 2.1


HDMI Enhanced Audio Return Channel (eARC)


HDCP 2.3


HDCP 2.2


HDMI Audio Return Channel (ARC)


HDCP",EasyLink,Optik,Var,CI+ (1.3),1 Adet,1 Adet,Yok,Var,"Google Play Store


Web Tarayıcı","Google Arama


Google Play Movies


Google Play Music


Netflix


Prime Video


YouTube",Var,Yok,Var,Var,Harici Disk/USB Bellek ile,Var,Var,4,Android TV,Android TV 11 (R),"Bluetooth


FreeSync


Freesync Premium


Google Assistant


Ekran Yansıtma


Variable Refresh Rate (VRR)


USB ile Resim/Müzik/Video Oynatma


Pause TV


Amazon Alexa


Auto Low Latency Mode (ALLM)


Bluetooth 5.0


DTS Play-Fi",G,70 kWh,G,128 kWh,,0.3 W,"Güç Tasarrufu Modu (Ekonomik mod) 

Işık sensörü (Eco Sensor/Akıllı Sensör) 

Otomatik Kapanma",Standart,Gümüş,Kare,VESA Duvar Montaj Desteği (300x200 mm),1240 mm,785 mm,160 mm,1115.6 mm,719.8 mm,262.6 mm,1115.6 mm,653.4 mm,80.6 mm,13.3 kg,15.5 kg,19 kg,2022,Android TV,Philips 50PUS8807 Ultra HD (4K) TV Kullanım Kılavuzu (TR),,,,Var,,,,16 GB,,1 Adet,,,,,,,,,,,USB Bellek ile Arttırılabilir,,,Var,"Ambi Wakeup/Sunrise


Ambilight Aurora


Ambilight Başlangıç Animasyonu


Ambilight Müzik


AmbiSleep

 
Dahili Ambilight+hue


Dinlenme ışık modu


Duvar rengine uyarlanma


Oyun modu


Philips Wireless Home Speakers


3 Taraflı",,,,,,,,
